canal,nome_video,data_visualizacao,Ano,Mês,Dia,Dia da Semana,Parte do dia,hora
New TikTok,Oddly Satisfying Video That Is So Relaxing You Will Find Relief from Stress Part 3 #ShortsNew TikTok18 de jul. de 2021 10:56:57 BRT,2021-07-18 10:56:57,2021,Julho,18,Domingo,Manhã,10
MART01,cacagoniaMART0118 de jul. de 2021 10:56:45 BRT,2021-07-18 10:56:45,2021,Julho,18,Domingo,Manhã,10
Fernando Floripa Motorista Uber,Uber pegou no flagra Viagem para Terceiros #ShortsFernando Floripa Motorista Uber18 de jul. de 2021 10:56:43 BRT,2021-07-18 10:56:43,2021,Julho,18,Domingo,Manhã,10
Tim Explica,BRASILEIROS NÃO FALAM “SIM” #shortsTim Explica18 de jul. de 2021 10:56:18 BRT,2021-07-18 10:56:18,2021,Julho,18,Domingo,Manhã,10
Celebrity,It Looked Easy tiktok prabesh1Celebrity18 de jul. de 2021 10:56:06 BRT,2021-07-18 10:56:06,2021,Julho,18,Domingo,Manhã,10
DOIDO SHITPOST,🔥Shitpost 30 segundos 🔥DOIDO SHITPOST18 de jul. de 2021 10:56:00 BRT,2021-07-18 10:56:00,2021,Julho,18,Domingo,Manhã,10
X12 Official,Satisfying|AMAZING Trimming Horse Hooves Technology #X12 Official18 de jul. de 2021 10:55:42 BRT,2021-07-18 10:55:42,2021,Julho,18,Domingo,Manhã,10
Youtube Shorts,TRUCKED 😳🔥Youtube Shorts18 de jul. de 2021 10:55:27 BRT,2021-07-18 10:55:27,2021,Julho,18,Domingo,Manhã,10
Flávio M Machado,💥💢•quem é o culpado•seta para à esquerda e vira para a direita•ambos•leis de trânsito • moto•carroFlávio M Machado18 de jul. de 2021 10:55:19 BRT,2021-07-18 10:55:19,2021,Julho,18,Domingo,Manhã,10
Slay Queen,Here it goes 🤣 have you seen this cool feature! TikTok swefiehvillageSlay Queen18 de jul. de 2021 10:55:08 BRT,2021-07-18 10:55:08,2021,Julho,18,Domingo,Manhã,10
Wooden Projects Ideas,Amazing woodworking projects ideas - Wooden Projects IdeasWooden Projects Ideas18 de jul. de 2021 10:54:59 BRT,2021-07-18 10:54:59,2021,Julho,18,Domingo,Manhã,10
ALL in one,iphone packing yo customer | iphoneALL in one18 de jul. de 2021 10:54:46 BRT,2021-07-18 10:54:46,2021,Julho,18,Domingo,Manhã,10
AMAZING TECHNOLOGY,Amazing Technology and vediosAMAZING TECHNOLOGY18 de jul. de 2021 10:54:44 BRT,2021-07-18 10:54:44,2021,Julho,18,Domingo,Manhã,10
Min Cute,"Million-view videos, Satisfying viewers on Tik Tok #1 ||  Best Oddly Satisfying VideosMin Cute18 de jul. de 2021 10:54:32 BRT",2021-07-18 10:54:32,2021,Julho,18,Domingo,Manhã,10
Gadget Central,COOLEST Amazon GadgetsGadget Central18 de jul. de 2021 10:54:21 BRT,2021-07-18 10:54:21,2021,Julho,18,Domingo,Manhã,10
LifeOfADoctor,Doctor Reacts to Ear IrrigationLifeOfADoctor18 de jul. de 2021 10:54:10 BRT,2021-07-18 10:54:10,2021,Julho,18,Domingo,Manhã,10
Tim Explica,MEU IRMÃO Gringo Avaliando as COMIDAS BRASILEIRAS #shortsTim Explica18 de jul. de 2021 10:53:45 BRT,2021-07-18 10:53:45,2021,Julho,18,Domingo,Manhã,10
Carsrlite,Lamborghini Aventador Melts front grill of Audi R8!Carsrlite18 de jul. de 2021 10:53:33 BRT,2021-07-18 10:53:33,2021,Julho,18,Domingo,Manhã,10
Viral Valley,Satisfying Foam tiktok nzsghp 41Viral Valley18 de jul. de 2021 10:53:20 BRT,2021-07-18 10:53:20,2021,Julho,18,Domingo,Manhã,10
U2 Teach,Amazing Life hack {#82}U2 Teach18 de jul. de 2021 10:53:08 BRT,2021-07-18 10:53:08,2021,Julho,18,Domingo,Manhã,10
Smart Welding,Tig weldingSmart Welding18 de jul. de 2021 10:52:51 BRT,2021-07-18 10:52:51,2021,Julho,18,Domingo,Manhã,10
Creative Workers,Brick Machine ||• CREATIVE TOOLSCreative Workers18 de jul. de 2021 10:52:36 BRT,2021-07-18 10:52:36,2021,Julho,18,Domingo,Manhã,10
D4RK,ele queima🤔📸🔎🧐???D4RK18 de jul. de 2021 10:52:24 BRT,2021-07-18 10:52:24,2021,Julho,18,Domingo,Manhã,10
FUNK DOPIRA,MC JOTTAPE TROLLANDO SUA NAMORADAFUNK DOPIRA18 de jul. de 2021 10:52:19 BRT,2021-07-18 10:52:19,2021,Julho,18,Domingo,Manhã,10
Sam Hairstyle,"Medium length haircut, Surfer hairstyle, Layered undercut hairstyle men, #Hair #Shorts #Sam Hairstyle18 de jul. de 2021 10:52:07 BRT",2021-07-18 10:52:07,2021,Julho,18,Domingo,Manhã,10
Tim Explica,ISSO é Illegal nos Estados Unidos mas SUPER Comum no BRASIL #shortsTim Explica18 de jul. de 2021 10:51:39 BRT,2021-07-18 10:51:39,2021,Julho,18,Domingo,Manhã,10
smartcool,Comment Me Yes Or Nosmartcool18 de jul. de 2021 10:51:28 BRT,2021-07-18 10:51:28,2021,Julho,18,Domingo,Manhã,10
ShortsGoneViral,Spider Arcade tiktok jacobrosstechShortsGoneViral18 de jul. de 2021 10:51:10 BRT,2021-07-18 10:51:10,2021,Julho,18,Domingo,Manhã,10
EU SOU ZOEIRO,O Peixe que mais produz caviar no mundo!EU SOU ZOEIRO18 de jul. de 2021 10:50:55 BRT,2021-07-18 10:50:55,2021,Julho,18,Domingo,Manhã,10
( GHOST),Quem é o cr7?( GHOST)18 de jul. de 2021 10:50:53 BRT,2021-07-18 10:50:53,2021,Julho,18,Domingo,Manhã,10
Christian Wedoy,How to not rescue a dummy #shortsChristian Wedoy18 de jul. de 2021 10:50:38 BRT,2021-07-18 10:50:38,2021,Julho,18,Domingo,Manhã,10
MotivaCast - CortesPodCast,NATHALIA ARCURIMotivaCast - CortesPodCast18 de jul. de 2021 10:50:10 BRT,2021-07-18 10:50:10,2021,Julho,18,Domingo,Manhã,10
Tiktonita,"Pessoas nascidas nos anos 70, 80, 90 e 2000Tiktonita18 de jul. de 2021 10:50:07 BRT",2021-07-18 10:50:07,2021,Julho,18,Domingo,Manhã,10
Tim Explica,AMERICANOS ACHAM esse hábito Brasileiro estranho #shortsTim Explica18 de jul. de 2021 10:49:43 BRT,2021-07-18 10:49:43,2021,Julho,18,Domingo,Manhã,10
Laysla Soares,esperança é a última que morreLaysla Soares18 de jul. de 2021 10:49:25 BRT,2021-07-18 10:49:25,2021,Julho,18,Domingo,Manhã,10
TikTok Queens,Barack Obama Tossing Away A Gift TikTok: jeanjohn_01TikTok Queens18 de jul. de 2021 10:49:18 BRT,2021-07-18 10:49:18,2021,Julho,18,Domingo,Manhã,10
Caio Bergantine,REACT - CORTOU O CHINELO? 😱Caio Bergantine18 de jul. de 2021 10:49:17 BRT,2021-07-18 10:49:17,2021,Julho,18,Domingo,Manhã,10
Sau Sampaio,"SANDUÍCHE SEM PÃO - Sem glúten, com batata sanfonada -  Receita Tik TokSau Sampaio18 de jul. de 2021 10:49:10 BRT",2021-07-18 10:49:10,2021,Julho,18,Domingo,Manhã,10
Fernando Floripa Motorista Uber,Cancelou NO MEIO DA CORRIDA e Motorista Uber é obrigado a 😱 #ShortsFernando Floripa Motorista Uber18 de jul. de 2021 10:48:58 BRT,2021-07-18 10:48:58,2021,Julho,18,Domingo,Manhã,10
Shorts e Cortes Podcast,PRENDE EU!Shorts e Cortes Podcast18 de jul. de 2021 10:48:47 BRT,2021-07-18 10:48:47,2021,Julho,18,Domingo,Manhã,10
Mundo Polarizado | Olimpio Araujo Junior,Bolsonaro fala sobre os protestos em CubaMundo Polarizado | Olimpio Araujo Junior18 de jul. de 2021 10:47:58 BRT,2021-07-18 10:47:58,2021,Julho,18,Domingo,Manhã,10
Cenrecomo,"Cuba: em meio aos maiores protestos populares em 30 anos, governo prende jornalistasCenrecomo18 de jul. de 2021 10:43:38 BRT",2021-07-18 10:43:38,2021,Julho,18,Domingo,Manhã,10
Record News,Governo cubano corta a internet e prende manifestantesRecord News18 de jul. de 2021 10:42:53 BRT,2021-07-18 10:42:53,2021,Julho,18,Domingo,Manhã,10
Pânico Jovem Pan,Rodrigo Constantino: ‘CUBANOS ESTÃO INDO ÀS RUAS COM AS MÃOS CONTRA UM GOVERNO OPRESSOR ARMADO'Pânico Jovem Pan18 de jul. de 2021 10:41:49 BRT,2021-07-18 10:41:49,2021,Julho,18,Domingo,Manhã,10
PodeParts Podcast,CUBA PR3ND3  y0tuber durante transmissão AO VIVOPodeParts Podcast18 de jul. de 2021 10:41:22 BRT,2021-07-18 10:41:22,2021,Julho,18,Domingo,Manhã,10
Jovem Pan - 3 em 1,Espanha pede liberação de jornalista presa por cobertura em CubaJovem Pan - 3 em 118 de jul. de 2021 10:37:36 BRT,2021-07-18 10:37:36,2021,Julho,18,Domingo,Manhã,10
El Mundo,Sastrería Cornejo: de las pelis de romanos a 'Juego de Tronos'El Mundo18 de jul. de 2021 10:37:20 BRT,2021-07-18 10:37:20,2021,Julho,18,Domingo,Manhã,10
El Mundo,Detienen en directo a la youtuber cubana Dina Stars mientras la entrevistan en 'Todo es Mentira'El Mundo18 de jul. de 2021 10:35:40 BRT,2021-07-18 10:35:40,2021,Julho,18,Domingo,Manhã,10
REMONTADA ,the race for the european golden 2021 shoe levandowiski messi ronaldo andre silva mbappeREMONTADA 16 de jul. de 2021 22:32:04 BRT,2021-07-16 22:32:04,2021,Julho,16,Sexta-feira,Noite,22
Sau Sampaio,CARANGUEJO RECEITA RÁPIDA E FÁCIL - Como fazer caranguejoSau Sampaio16 de jul. de 2021 22:31:23 BRT,2021-07-16 22:31:23,2021,Julho,16,Sexta-feira,Noite,22
Diaz Borneo,A scary Voice of kingcobraDiaz Borneo16 de jul. de 2021 22:31:05 BRT,2021-07-16 22:31:05,2021,Julho,16,Sexta-feira,Noite,22
Seloko Cortes,A VERDADE SOBRE CRISTIANO RONALDO ( LUÍS NANI )Seloko Cortes16 de jul. de 2021 18:55:34 BRT,2021-07-16 18:55:34,2021,Julho,16,Sexta-feira,Madrugada,18
Cartoloucos,INVADI O VESTIÁRIO DA ARGENTINA NA FINAL DA COPA AMÉRICA!Cartoloucos16 de jul. de 2021 18:41:20 BRT,2021-07-16 18:41:20,2021,Julho,16,Sexta-feira,Madrugada,18
Sharpax,"Aula 04 - O que é CamelCase, e quando utilizar?Sharpax15 de jul. de 2021 23:56:40 BRT",2021-07-15 23:56:40,2021,Julho,15,Quinta-feira,Madrugada,23
Rogerio Silva,Python Split - quebrando uma string(texto)Rogerio Silva15 de jul. de 2021 23:56:16 BRT,2021-07-15 23:56:16,2021,Julho,15,Quinta-feira,Madrugada,23
Hackers Realm,79 - CamelCase | Hackerrank Solution | Problem Solving | PythonHackers Realm15 de jul. de 2021 23:51:57 BRT,2021-07-15 23:51:57,2021,Julho,15,Quinta-feira,Madrugada,23
HewyPy,Convert Strings to CamelCase | Python | CodewarsHewyPy15 de jul. de 2021 23:48:42 BRT,2021-07-15 23:48:42,2021,Julho,15,Quinta-feira,Madrugada,23
Código Logo,Python intermediário I Tutorial 9 - Como substituir uma StringCódigo Logo15 de jul. de 2021 23:46:37 BRT,2021-07-15 23:46:37,2021,Julho,15,Quinta-feira,Madrugada,23
Código Logo,Python intermediário I Tutorial 8 - Como dividir uma StringCódigo Logo15 de jul. de 2021 23:45:05 BRT,2021-07-15 23:45:05,2021,Julho,15,Quinta-feira,Madrugada,23
Adam Marczak - Azure for Everyone,Azure Databricks Tutorial | Data transformations at scaleAdam Marczak - Azure for Everyone15 de jul. de 2021 00:58:20 BRT,2021-07-15 00:58:20,2021,Julho,15,Quinta-feira,Madrugada,0
AREA51,Children × Roses - David Guetta & Dj From Mars Mashup Live At Fun Radio Live Stream ExperienceAREA5114 de jul. de 2021 23:43:16 BRT,2021-07-14 23:43:16,2021,Julho,14,Quarta-feira,Madrugada,23
claudinhobrasil,Mamma Mia - Claudinho Brasil & Harmonika (Official Clip)claudinhobrasil13 de jul. de 2021 22:19:16 BRT,2021-07-13 22:19:16,2021,Julho,13,Terça-feira,Noite,22
Gustavo Rocha,Stanka - Playground Music Festival (Goiânia)Gustavo Rocha13 de jul. de 2021 22:16:10 BRT,2021-07-13 22:16:10,2021,Julho,13,Terça-feira,Noite,22
Vegas Live,Vegas @ Universo Paralello Festival #15  2019/2020 FULL VIDEOVegas Live13 de jul. de 2021 22:09:52 BRT,2021-07-13 22:09:52,2021,Julho,13,Terça-feira,Noite,22
EPHIMERA Tulum,Savage and Shē | Tulum Vibrations Mix 2020 by @EPHIMERA TulumEPHIMERA Tulum13 de jul. de 2021 22:07:20 BRT,2021-07-13 22:07:20,2021,Julho,13,Terça-feira,Noite,22
Mixmag,DAMIAN LAZARUS sunrise set at Day ZeroMixmag13 de jul. de 2021 22:03:18 BRT,2021-07-13 22:03:18,2021,Julho,13,Terça-feira,Noite,22
I TRAVEL FOREVER,THE BEST BEACH CLUB PARTY IN TULUM  |  Taboo TulumI TRAVEL FOREVER13 de jul. de 2021 22:02:51 BRT,2021-07-13 22:02:51,2021,Julho,13,Terça-feira,Noite,22
Boiler Room,Nicola Cruz Boiler Room Tulum x Comunite Live SetBoiler Room13 de jul. de 2021 21:56:59 BRT,2021-07-13 21:56:59,2021,Julho,13,Terça-feira,Noite,21
Boiler Room,Nicola Cruz | Boiler Room x Plisskën FestivalBoiler Room13 de jul. de 2021 21:55:38 BRT,2021-07-13 21:55:38,2021,Julho,13,Terça-feira,Noite,21
Defected Records,Vintage Culture - Defected House Music DJ Set (Live from Brazil)Defected Records13 de jul. de 2021 20:28:10 BRT,2021-07-13 20:28:10,2021,Julho,13,Terça-feira,Noite,20
Dubdogz,"Dubdogz - DOGPRIVATE #18 (Tawa, Buzios - RJ) Insomniac ResidencyDubdogz13 de jul. de 2021 19:57:45 BRT",2021-07-13 19:57:45,2021,Julho,13,Terça-feira,Noite,19
Bruno Hanai - Formula Excel,EXCEL: Sortear números de um conjunto de númerosBruno Hanai - Formula Excel13 de jul. de 2021 19:46:27 BRT,2021-07-13 19:46:27,2021,Julho,13,Terça-feira,Noite,19
TikTokTunes,Busta Rhymes - Touch It (TikTok Remix) Lyrics | touch it clean busta rhymes remix tik tokTikTokTunes13 de jul. de 2021 14:32:55 BRT,2021-07-13 14:32:55,2021,Julho,13,Terça-feira,Tarde,14
Coisa Hab-Surda,Casal troca de roupa - TikTokCoisa Hab-Surda13 de jul. de 2021 14:32:19 BRT,2021-07-13 14:32:19,2021,Julho,13,Terça-feira,Tarde,14
TikTok MaJu,Challenge de troca de roupaTikTok MaJu13 de jul. de 2021 14:32:16 BRT,2021-07-13 14:32:16,2021,Julho,13,Terça-feira,Tarde,14
Karine Viana Teixeira,CHALLENGE DE CASAL TROCANDO DE ROUPAS #tiktokKarine Viana Teixeira13 de jul. de 2021 14:32:13 BRT,2021-07-13 14:32:13,2021,Julho,13,Terça-feira,Tarde,14
iFood para Entregadores,Como o iFood envia rotas para os entregadores e entregadoras?iFood para Entregadores13 de jul. de 2021 01:21:49 BRT,2021-07-13 01:21:49,2021,Julho,13,Terça-feira,Madrugada,1
Reaction Lab,Oddly Satisfying GadgetsReaction Lab12 de jul. de 2021 21:50:06 BRT,2021-07-12 21:50:06,2021,Julho,12,Segunda-feira,Noite,21
Seawatt Shorts,First Day as an Iron Golem MinecraftSeawatt Shorts12 de jul. de 2021 21:50:04 BRT,2021-07-12 21:50:04,2021,Julho,12,Segunda-feira,Noite,21
Dp Guru {Durga Prasad patel},amazing video and work machine 321Dp Guru {Durga Prasad patel}12 de jul. de 2021 21:50:01 BRT,2021-07-12 21:50:01,2021,Julho,12,Segunda-feira,Noite,21
Amazing Fishing,Amazing Fishing Video Traditional  Fishing 27Amazing Fishing12 de jul. de 2021 21:49:50 BRT,2021-07-12 21:49:50,2021,Julho,12,Segunda-feira,Noite,21
Sau Sampaio,CARNE CRUA - STEAK TARTARE - Receita de carne crua francesaSau Sampaio12 de jul. de 2021 21:49:01 BRT,2021-07-12 21:49:01,2021,Julho,12,Segunda-feira,Noite,21
GUTHSOUZA,História do ollieGUTHSOUZA12 de jul. de 2021 21:48:56 BRT,2021-07-12 21:48:56,2021,Julho,12,Segunda-feira,Noite,21
MILITARY TV,MILITARY TV | #ShortsMILITARY TV12 de jul. de 2021 21:48:51 BRT,2021-07-12 21:48:51,2021,Julho,12,Segunda-feira,Noite,21
Mr Gamerz dude,GTA V- Stealing cops super carsMr Gamerz dude12 de jul. de 2021 21:48:48 BRT,2021-07-12 21:48:48,2021,Julho,12,Segunda-feira,Noite,21
stokes twins squad,wait for end  ..  | stokes twins squad  | Stokes Twins #short #sortstokes twins squad12 de jul. de 2021 21:48:42 BRT,2021-07-12 21:48:42,2021,Julho,12,Segunda-feira,Noite,21
Invasion Of The Stickers,GRAFFITI 💣💣💣Invasion Of The Stickers12 de jul. de 2021 21:48:14 BRT,2021-07-12 21:48:14,2021,Julho,12,Segunda-feira,Noite,21
FreeTimess Channel,Gbpusd : Trading Journal to Long-term ! 9 July BE 2564FreeTimess Channel12 de jul. de 2021 21:48:08 BRT,2021-07-12 21:48:08,2021,Julho,12,Segunda-feira,Noite,21
Penzoo,Wooden Toys Are Fun To Play With 694Penzoo12 de jul. de 2021 21:47:59 BRT,2021-07-12 21:47:59,2021,Julho,12,Segunda-feira,Noite,21
HaalandClips,Skills!🖤💛HaalandClips12 de jul. de 2021 21:47:27 BRT,2021-07-12 21:47:27,2021,Julho,12,Segunda-feira,Noite,21
Naturando,REFORÇANDO a CERCA: fácil e rápido!Naturando12 de jul. de 2021 21:46:42 BRT,2021-07-12 21:46:42,2021,Julho,12,Segunda-feira,Noite,21
trickshotdav,Double basketball trick shot with motivational message #shortstrickshotdav12 de jul. de 2021 21:46:37 BRT,2021-07-12 21:46:37,2021,Julho,12,Segunda-feira,Noite,21
Austin Sprinz,Smokebomb Tyedye with Yeezys *Crazy Results* #shortsAustin Sprinz12 de jul. de 2021 21:46:35 BRT,2021-07-12 21:46:35,2021,Julho,12,Segunda-feira,Noite,21
stokes twins squad,ring or candy  . | stokes twins squad  | Stokes Twins #short #sortstokes twins squad12 de jul. de 2021 21:46:16 BRT,2021-07-12 21:46:16,2021,Julho,12,Segunda-feira,Noite,21
Matt Brockman,Satisfying Air Hockey Card Trickshot! #shortsMatt Brockman12 de jul. de 2021 21:46:04 BRT,2021-07-12 21:46:04,2021,Julho,12,Segunda-feira,Noite,21
Biju ke experiment,Amazing hammer | # ShortsBiju ke experiment12 de jul. de 2021 21:45:54 BRT,2021-07-12 21:45:54,2021,Julho,12,Segunda-feira,Noite,21
Javi Luna,Cake Check Challenge 🍑💦 #shortsJavi Luna12 de jul. de 2021 21:45:51 BRT,2021-07-12 21:45:51,2021,Julho,12,Segunda-feira,Noite,21
Tecfarst Gamerz Shorts,zachking Behind the scenes #shorts #zachking #zachkingtiktok #zachkingfannyvideo #zachkingvideoTecfarst Gamerz Shorts12 de jul. de 2021 21:45:30 BRT,2021-07-12 21:45:30,2021,Julho,12,Segunda-feira,Noite,21
Dp Guru {Durga Prasad patel},amazing video and work machine409Dp Guru {Durga Prasad patel}12 de jul. de 2021 21:45:10 BRT,2021-07-12 21:45:10,2021,Julho,12,Segunda-feira,Noite,21
AnthonySenpai,Most Popular TikTok! #shortsAnthonySenpai12 de jul. de 2021 21:44:55 BRT,2021-07-12 21:44:55,2021,Julho,12,Segunda-feira,Noite,21
The Young Entrepreneur's Arcade,Gumball Machine ASMR 🔈The Young Entrepreneur's Arcade12 de jul. de 2021 21:44:33 BRT,2021-07-12 21:44:33,2021,Julho,12,Segunda-feira,Noite,21
antonio silva,18 de junho de 2021antonio silva12 de jul. de 2021 21:44:31 BRT,2021-07-12 21:44:31,2021,Julho,12,Segunda-feira,Noite,21
Romina Gafur,Gravity who? #ShortsRomina Gafur12 de jul. de 2021 21:44:15 BRT,2021-07-12 21:44:15,2021,Julho,12,Segunda-feira,Noite,21
Viralex,Opening Another Pool For Summer tiktok crystalclearpoolsViralex12 de jul. de 2021 21:43:27 BRT,2021-07-12 21:43:27,2021,Julho,12,Segunda-feira,Noite,21
Satisfying Video Hsa,Oddly Satisfying Video #121 #shortsSatisfying Video Hsa12 de jul. de 2021 21:43:11 BRT,2021-07-12 21:43:11,2021,Julho,12,Segunda-feira,Noite,21
Ibis famous,fiz a Savannah #Nowunited#IbispaintX#Famosos#IbisFamousIbis famous12 de jul. de 2021 21:43:02 BRT,2021-07-12 21:43:02,2021,Julho,12,Segunda-feira,Noite,21
Shong Bong,Goes in easy comes out easier Shong Bong12 de jul. de 2021 21:42:42 BRT,2021-07-12 21:42:42,2021,Julho,12,Segunda-feira,Noite,21
Dentista do Aparelho,O Melhor Fio Dental pra quem usa Aparelho - Parte 2 #ShortsDentista do Aparelho12 de jul. de 2021 21:42:33 BRT,2021-07-12 21:42:33,2021,Julho,12,Segunda-feira,Noite,21
AnthonySenpai,Money Roll Challenge! #shortsAnthonySenpai12 de jul. de 2021 21:42:02 BRT,2021-07-12 21:42:02,2021,Julho,12,Segunda-feira,Noite,21
FFUNTV,She is foxy but not enough #ShortsFFUNTV12 de jul. de 2021 21:42:00 BRT,2021-07-12 21:42:00,2021,Julho,12,Segunda-feira,Noite,21
Julius Dein,JETSKI WAX PRANK!! 🤣 - #ShortsJulius Dein12 de jul. de 2021 21:41:56 BRT,2021-07-12 21:41:56,2021,Julho,12,Segunda-feira,Noite,21
Best Viral Trends,😊tiktok jordanesagetBest Viral Trends12 de jul. de 2021 21:41:40 BRT,2021-07-12 21:41:40,2021,Julho,12,Segunda-feira,Noite,21
Ewox YK,THROWING CARD INTO A 🥝 (Card Throwing Trick Shot) | Ewox YK #shortsEwox YK12 de jul. de 2021 21:41:11 BRT,2021-07-12 21:41:11,2021,Julho,12,Segunda-feira,Noite,21
K Volly Vlogs,🔥 Volleyball takes EffortsK Volly Vlogs12 de jul. de 2021 21:40:28 BRT,2021-07-12 21:40:28,2021,Julho,12,Segunda-feira,Noite,21
Like House BR,TINDER DA VIDA REAL BELLE KAFFER #ShortsLike House BR12 de jul. de 2021 21:40:18 BRT,2021-07-12 21:40:18,2021,Julho,12,Segunda-feira,Noite,21
Doctor Tristan Peh,😱 Tiktok Duet : Floss Pick is for Cleaning Between Teeth 🤩🙏 #shortsDoctor Tristan Peh12 de jul. de 2021 21:40:04 BRT,2021-07-12 21:40:04,2021,Julho,12,Segunda-feira,Noite,21
Amana Painting Ltd,How to paint a wall fastAmana Painting Ltd12 de jul. de 2021 21:40:03 BRT,2021-07-12 21:40:03,2021,Julho,12,Segunda-feira,Noite,21
Austin Sprinz,SMOKEBOMB valentines day DIY HACK! #shortsAustin Sprinz12 de jul. de 2021 21:38:43 BRT,2021-07-12 21:38:43,2021,Julho,12,Segunda-feira,Noite,21
Slay Queen,Turning the last of our tickets! TikTok fatheraiSlay Queen12 de jul. de 2021 21:37:43 BRT,2021-07-12 21:37:43,2021,Julho,12,Segunda-feira,Noite,21
Jardiel Silva,22 de maio de 2021Jardiel Silva12 de jul. de 2021 21:37:42 BRT,2021-07-12 21:37:42,2021,Julho,12,Segunda-feira,Noite,21
312Drive,Clear Bra Wrap By Pros312Drive12 de jul. de 2021 21:37:04 BRT,2021-07-12 21:37:04,2021,Julho,12,Segunda-feira,Noite,21
RECA OFFICIAL,When Messi was so frustrated that he did a forward roll 😳😅 #shortsRECA OFFICIAL12 de jul. de 2021 21:36:50 BRT,2021-07-12 21:36:50,2021,Julho,12,Segunda-feira,Noite,21
Gien Liu,como fazer um balde de agua flutuar no teto #ShortsGien Liu12 de jul. de 2021 21:36:46 BRT,2021-07-12 21:36:46,2021,Julho,12,Segunda-feira,Noite,21
Satisfying Video Hsa,Best Oddly Satisfying Video 😙😙 for Sleep & the Relaxation of Your Nerves #shorts​Satisfying Video Hsa12 de jul. de 2021 21:36:30 BRT,2021-07-12 21:36:30,2021,Julho,12,Segunda-feira,Noite,21
